sum, 10, 30 = 40
sub, 4, 2 = 2
mul, 5, 2 = 10
div, 4, 2 = 2.0
sum, 10, 30 = 40
sub, 4, 2 = 2
mul, 5, 2 = 10
div, 4, 2 = 2.0
2025-02-08T11:35:16.565517;sum;10;30;40
2025-02-08T11:35:18.218416;sub;4;2;2
2025-02-08T11:35:19.611368;mul;5;2;10
2025-02-08T11:35:21.528590;div;4;2;2.0
2025-02-08T11:37:29.433496;mdma;sum;10;30;40
2025-02-08T11:37:31.683255;mdma;sub;4;2;2
2025-02-08T11:37:33.047517;mdma;mul;5;2;10
2025-02-08T11:37:34.471089;mdma;div;4;2;2.0
2025-02-08T11:39:15.763189;root;mul;5;2;10
2025-03-05T13:07:27.181439;mdma;sum;1;1;2
2025-03-05T13:12:07.301319;mdma;sum;1;2;3
2025-03-05T13:42:24.955663;mdma;sum;1;1;2
2025-03-05T13:56:52.169165;mdma;sum;1;1;11
2025-03-05T14:03:51.869793;mdma;sum;1;1;11
